name;start;end;volume;surfaceV;frame_rate;outlier;time;debias;first_frame;layers
07294;3;1;0.4;1600,300;120;False;239;1200;3;4
07295;4;1;0.2;800,700;120;False;99;300;2;4
07296;8;1;0.2;500,800;120;False;41;200;2;4
07297;7;1;0.1;700,600;120;False;285;0;1;4
07298;6;1;0.08;600,600;120;False;108;0;2;4
07299;6;1;0.05;600,500;120;False;83;0;2;4
07300;8;1;0.03;500,500;120;False;90;0;2;4
07301;6;1;0.03;200,300;120;True;151;500;1;4
07319;2;1;0.3;1400,1400;120;False;999;0;1;4
07325;8;1;0.2;1300,1000;120;False;999;400;1;3
07326;7;1;0.15;1000,1100;120;False;999;0;1;3
07327;10;1;0.3;1000,800;120;False;999;0;1;3
07328;9;1;0.1;800,800;120;False;999;0;1;3
07329;10;1;0.1;700,700;120;False;999;0;1;3
07334;6;1;0.5;1600,900;120;False;999;500;1;3
07335;7;1;0.2;800,800;120;False;999;0;1;3
07336;7;1;0.05;800,700;120;False;999;0;1;3
